order_id,user_id,product_id,order_date,channel,quantity,unit_price,discount_rate,refund_flag,amount
O00070,U0180,P023,2026-01-29,wechat_shop,2,175.33,0.0,0,350.66
O00071,U0356,P002,2026-01-03,taobao,1,83.83,0.0,0,83.83
O00072,U0121,P040,2026-02-11,wechat_shop,1,241.49,0.0,0,241.49
O00073,U0591,P003,2026-03-26,wechat_shop,1,148.5,0.0,0,148.5
O00074,U0581,P033,2026-05-07,douyin,1,303.53,0.0,0,303.53
O00075,U0119,P031,2026-04-04,douyin,1,72.69,0.0,0,72.69
O00076,U0484,P033,2026-05-10,taobao,1,303.53,0.0,0,303.53
O00077,U0430,P013,2026-04-08,douyin,1,179.25,0.0,0,179.25
O00078,U0080,P025,2026-03-23,taobao,1,73.75,0.15,0,73.75
O00079,U0529,P007,2026-01-30,wechat_shop,2,182.5,0.0,0,365.0
O00080,U0319,P037,2026-04-12,taobao,3,277.29,0.0,0,831.87
O00081,U0578,P009,2026-01-22,taobao,1,203.46,0.0,0,203.46
O00082,U0201,P037,2026-06-08,douyin,1,249.56,0.1,0,249.56
O00083,U0355,P030,2026-02-07,wechat_shop,4,163.0,0.0,0,652.0
O00084,U0315,P016,2026-03-26,wechat_shop,2,85.15,0.05,0,170.3
O00085,U0062,P027,2026-02-21,douyin,5,148.6,0.05,0,743.0
O00086,U0533,P022,2026-03-12,offline_store,1,266.07,0.0,0,266.07
O00087,U0098,P007,2026-06-28,douyin,1,155.12,0.15,0,155.12
O00088,U0134,P009,2026-06-12,douyin,1,183.11,0.1,0,183.11
O00089,U0335,P040,2026-03-15,taobao,3,229.42,0.05,0,688.26
O00090,U0599,P016,2026-04-25,wechat_shop,1,89.63,0.0,0,89.63
O00091,U0124,P028,2026-02-08,taobao,1,270.45,0.05,0,270.45
O00092,U0093,P025,2026-02-22,douyin,1,86.77,0.0,0,86.77
O00093,U0221,P006,2026-06-24,taobao,3,187.68,0.15,0,563.04
O00094,U0051,P002,2026-02-06,taobao,2,83.83,0.0,0,167.66
O00095,U0570,P024,2026-03-07,douyin,1,170.12,0.05,0,170.12
O00096,U0064,P021,2026-01-24,douyin,1,173.22,0.0,0,173.22
O00097,U0087,P007,2026-02-02,taobao,3,182.5,0.0,0,547.5
O00098,U0455,P017,2026-01-19,douyin,5,202.92,0.0,0,1014.6
O00099,U0588,P039,2026-01-23,offline_store,1,272.9,0.05,0,272.9
O00100,U0363,P016,2026-04-11,douyin,1,76.19,0.15,0,76.19
O00101,U0252,P035,2026-02-16,taobao,1,90.05,0.0,1,90.05
O00102,U0287,P034,2026-05-07,offline_store,3,15.47,0.05,0,46.41
O00103,U0557,P038,2026-02-04,wechat_shop,1,267.54,0.1,0,267.54
O00104,U0353,P023,2026-04-07,taobao,1,157.8,0.1,0,157.8
O00105,U0031,P034,2026-04-09,taobao,1,16.28,0.0,0,16.28
O00106,U0164,P031,2026-01-14,wechat_shop,1,65.42,0.1,0,65.42
O00107,U0058,P016,2026-03-04,douyin,1,80.67,0.1,0,80.67
O00108,U0326,P023,2026-05-27,taobao,1,175.33,0.0,0,175.33
O00109,U0578,P020,2026-05-31,douyin,2,127.78,0.0,0,255.56
O00110,U0180,P035,2026-05-24,offline_store,3,85.55,0.05,0,256.65
O00111,U0540,P029,2026-01-09,offline_store,1,124.23,0.1,0,124.23
O00112,U0349,P028,2025-12-31,douyin,4,284.68,0.0,0,1138.72
O00113,U0146,P014,2026-03-23,wechat_shop,1,143.08,0.1,0,143.08
O00114,U0406,P037,2026-05-14,wechat_shop,5,277.29,0.0,0,1386.45
O00115,U0448,P035,2026-03-27,offline_store,1,90.05,0.0,0,90.05
O00116,U0366,P031,2026-06-15,douyin,1,65.42,0.1,0,65.42
O00117,U0302,P037,2026-06-19,douyin,3,263.43,0.05,0,790.29
O00118,U0401,P040,2026-02-14,wechat_shop,1,205.27,0.15,0,205.27
O00119,U0580,P035,2026-02-15,wechat_shop,1,81.05,0.1,0,81.05
O00120,U0328,P005,2026-05-07,douyin,1,111.95,0.0,0,111.95
O00121,U0344,P032,2026-06-11,offline_store,3,68.78,0.15,0,206.34
O00122,U0263,P028,2026-01-02,wechat_shop,1,241.98,0.15,0,241.98
O00123,U0171,P013,2025-12-31,offline_store,1,152.36,0.15,0,152.36
O00124,U0491,P031,2026-05-06,douyin,1,69.06,0.05,0,69.06
O00125,U0327,P021,2026-02-10,taobao,1,173.22,0.0,0,173.22
O00126,U0077,P013,2026-01-26,wechat_shop,1,170.29,0.05,0,170.29
O00127,U0442,P013,2026-03-27,douyin,5,170.29,0.05,0,851.45
O00128,U0195,P011,2026-06-04,offline_store,1,227.75,0.0,0,227.75
O00129,U0289,P038,2026-06-27,taobao,2,252.68,0.15,0,505.36
O00130,U0503,P003,2026-03-01,douyin,1,133.65,0.1,0,133.65
O00131,U0492,P016,2026-01-13,douyin,1,89.63,0.0,0,89.63
O00132,U0084,P037,2026-01-24,offline_store,1,235.7,0.15,0,235.7
O00133,U0272,P004,2026-01-29,wechat_shop,2,110.12,0.05,0,220.24
O00134,U0379,P017,2026-06-13,douyin,1,202.92,0.0,0,202.92
O00135,U0276,P017,2026-04-24,wechat_shop,1,192.77,0.05,0,192.77
O00136,U0353,P005,2026-02-07,offline_store,2,111.95,0.0,0,223.9
O00137,U0429,P001,2026-05-30,offline_store,2,25.99,0.05,0,51.98
O00138,U0036,P011,2026-05-26,douyin,1,227.75,0.0,0,227.75
O00139,U0198,P004,2026-01-30,douyin,1,115.92,0.0,0,115.92
O00140,U0152,P038,2026-01-10,taobao,1,252.68,0.15,0,252.68
O00141,U0570,P010,2026-03-22,offline_store,4,219.93,0.0,0,879.72
O00142,U0013,P015,2026-05-21,offline_store,3,145.74,0.1,0,437.22
O00143,U0103,P018,2026-01-28,wechat_shop,1,29.06,0.1,0,29.06
O00144,U0421,P018,2026-05-24,taobao,2,29.06,0.1,0,58.12
O00145,U0177,P007,2026-04-08,taobao,1,164.25,0.1,0,164.25
O00146,U0040,P004,2026-04-13,offline_store,2,98.53,0.15,0,197.06
O00147,U0276,P002,2026-03-25,taobao,1,71.26,0.15,0,71.26
O00148,U0504,P019,2026-01-05,wechat_shop,3,165.48,0.0,0,496.44
O00149,U0329,P001,2026-02-27,taobao,1,23.26,0.15,0,23.26
O00150,U0417,P016,2026-04-16,offline_store,2,89.63,0.0,0,179.26
O00151,U0068,P003,2026-05-12,taobao,3,133.65,0.1,0,400.95
O00152,U0030,P004,2026-05-09,douyin,1,104.33,0.1,0,104.33
O00153,U0052,P040,2026-02-18,taobao,3,241.49,0.0,1,724.47
O00154,U0127,P028,2026-02-19,wechat_shop,1,270.45,0.05,0,270.45
O00155,U0486,P004,2026-03-02,taobao,1,110.12,0.05,0,110.12
O00156,U0093,P030,2026-03-29,taobao,3,163.0,0.0,0,489.0
O00157,U0220,P030,2026-01-07,douyin,1,146.7,0.1,0,146.7
O00158,U0526,P022,2026-06-14,wechat_shop,2,266.07,0.0,0,532.14
O00159,U0009,P006,2026-06-23,douyin,1,220.8,0.0,0,220.8
O00160,U0282,P004,2026-03-05,offline_store,3,115.92,0.0,0,347.76
O00161,U0534,P023,2026-04-06,offline_store,1,175.33,0.0,0,175.33
O00162,U0384,P034,2026-05-29,taobao,1,13.84,0.15,0,13.84
O00163,U0284,P040,2026-03-17,taobao,1,241.49,0.0,0,241.49
O00164,U0154,P021,2026-03-11,douyin,2,147.24,0.15,0,294.48
O00165,U0027,P011,2026-01-14,offline_store,1,227.75,0.0,0,227.75
O00166,U0037,P015,2026-03-16,douyin,4,153.83,0.05,0,615.32
O00167,U0488,P017,2026-03-28,taobao,2,172.48,0.15,0,344.96
O00168,U0186,P017,2026-05-09,taobao,3,172.48,0.15,0,517.44
O00169,U0573,P024,2026-01-24,douyin,1,179.07,0.0,0,179.07
O00170,U0315,P026,2026-06-23,offline_store,2,38.77,0.0,0,77.54
O00171,U0121,P040,2026-03-25,offline_store,1,241.49,0.0,0,241.49
O00172,U0200,P003,2026-01-13,wechat_shop,2,133.65,0.1,0,267.3
O00173,U0155,P034,2026-06-23,douyin,1,15.47,0.05,0,15.47
O00174,U0469,P036,2026-02-20,douyin,1,240.6,0.1,0,240.6
O00175,U0182,P006,2026-03-21,taobao,1,220.8,0.0,0,220.8
O00176,U0173,P015,2026-06-11,douyin,1,161.93,0.0,0,161.93
O00177,U0414,P038,2026-05-05,offline_store,1,282.41,0.05,0,282.41
O00178,U0383,P007,2026-05-02,wechat_shop,1,164.25,0.1,0,164.25
O00179,U0005,P017,2026-03-23,douyin,3,202.92,0.0,1,608.76
O00180,U0393,P002,2026-02-26,taobao,3,83.83,0.0,0,251.49
O00181,U0467,P038,2026-02-11,taobao,3,297.27,0.0,0,891.81
O00182,U0502,P014,2026-04-21,taobao,5,158.98,0.0,0,794.9
O00183,U0230,P016,2026-02-17,douyin,4,85.15,0.05,1,340.6
O00184,U0376,P020,2026-02-23,wechat_shop,1,115.0,0.1,0,115.0
O00185,U0050,P039,2026-04-06,wechat_shop,1,258.53,0.1,0,258.53
O00186,U0390,P033,2026-06-16,wechat_shop,1,303.53,0.0,0,303.53
O00187,U0010,P001,2026-05-20,taobao,1,27.36,0.0,0,27.36
O00188,U0141,P036,2026-04-17,offline_store,1,240.6,0.1,0,240.6
O00189,U0109,P011,2026-01-26,offline_store,2,227.75,0.0,0,455.5
O00190,U0207,P009,2026-02-19,taobao,1,203.46,0.0,0,203.46
O00191,U0213,P030,2026-04-14,offline_store,1,146.7,0.1,0,146.7
O00192,U0114,P031,2026-03-25,offline_store,1,61.79,0.15,0,61.79
O00193,U0104,P040,2026-02-07,taobao,2,241.49,0.0,0,482.98
O00194,U0052,P023,2026-06-13,wechat_shop,1,175.33,0.0,0,175.33
O00195,U0321,P016,2026-02-13,offline_store,3,89.63,0.0,0,268.89
O00196,U0142,P012,2026-01-29,douyin,3,109.4,0.0,1,328.2
O00197,U0096,P005,2026-03-25,taobao,3,100.76,0.1,0,302.28
O00198,U0279,P018,2026-03-28,offline_store,1,30.68,0.05,0,30.68
O00199,U0171,P016,2026-06-25,wechat_shop,3,76.19,0.15,0,228.57
O00200,U0495,P013,2026-02-02,offline_store,2,179.25,0.0,0,358.5
O00201,U0134,P007,2026-02-15,offline_store,1,182.5,0.0,0,182.5
O00202,U0268,P022,2026-05-04,taobao,3,252.77,0.05,0,758.31
O00203,U0591,P028,2026-01-03,douyin,3,256.21,0.1,0,768.63
O00204,U0098,P005,2026-06-20,offline_store,1,95.16,0.15,0,95.16
O00205,U0395,P013,2026-06-18,douyin,1,179.25,0.0,0,179.25
O00206,U0518,P019,2026-05-22,offline_store,1,140.66,0.15,0,140.66
O00207,U0339,P010,2026-05-06,taobao,1,208.93,0.05,0,208.93
O00208,U0241,P021,2026-01-12,wechat_shop,1,147.24,0.15,0,147.24
O00209,U0511,P009,2026-04-27,offline_store,3,193.29,0.05,0,579.87
O00210,U0106,P015,2026-03-21,offline_store,5,137.64,0.15,0,688.2
O00211,U0312,P040,2026-04-15,douyin,2,241.49,0.0,0,482.98
O00212,U0056,P009,2026-06-16,douyin,1,203.46,0.0,0,203.46
O00213,U0373,P024,2026-04-26,offline_store,2,161.16,0.1,0,322.32
O00214,U0364,P013,2026-01-29,taobao,2,179.25,0.0,1,358.5
O00215,U0169,P019,2026-05-20,offline_store,1,165.48,0.0,0,165.48
O00216,U0201,P020,2026-02-04,douyin,2,121.39,0.05,0,242.78
O00217,U0111,P004,2026-01-30,offline_store,1,115.92,0.0,0,115.92
O00218,U0462,P029,2026-01-11,offline_store,3,124.23,0.1,0,372.69
O00219,U0005,P011,2026-06-17,wechat_shop,4,227.75,0.0,0,911.0
O00220,U0182,P017,2026-05-21,douyin,3,192.77,0.05,0,578.31
O00221,U0330,P012,2026-02-01,offline_store,1,98.46,0.1,0,98.46
O00222,U0352,P010,2026-04-17,taobao,4,219.93,0.0,0,879.72
O00223,U0525,P017,2026-04-25,taobao,1,182.63,0.1,0,182.63
O00224,U0567,P011,2026-06-28,douyin,3,193.59,0.15,0,580.77
O00225,U0136,P003,2026-02-20,douyin,2,148.5,0.0,0,297.0
O00226,U0361,P015,2026-05-08,offline_store,2,161.93,0.0,0,323.86
O00227,U0547,P035,2026-05-29,taobao,4,76.54,0.15,0,306.16
O00228,U0055,P019,2026-04-18,wechat_shop,1,165.48,0.0,0,165.48
O00229,U0257,P001,2026-02-20,douyin,2,27.36,0.0,0,54.72
O00230,U0034,P025,2026-01-15,taobao,2,86.77,0.0,0,173.54
O00231,U0230,P002,2026-04-25,offline_store,2,71.26,0.15,0,142.52
O00232,U0049,P003,2026-03-01,offline_store,2,126.22,0.15,0,252.44
O00233,U0566,P018,2026-04-09,wechat_shop,4,27.45,0.15,0,109.8
O00234,U0454,P017,2026-01-03,douyin,1,182.63,0.1,0,182.63
O00235,U0560,P019,2026-06-11,douyin,2,165.48,0.0,0,330.96
O00236,U0178,P018,2026-02-18,wechat_shop,1,27.45,0.15,0,27.45
O00237,U0165,P035,2026-04-06,taobao,1,81.05,0.1,0,81.05
O00238,U0331,P021,2026-01-01,wechat_shop,1,173.22,0.0,0,173.22
O00239,U0587,P027,2026-06-09,taobao,3,156.42,0.0,0,469.26
O00240,U0534,P028,2026-01-18,wechat_shop,1,284.68,0.0,0,284.68
O00241,U0358,P035,2026-05-09,douyin,1,81.05,0.1,0,81.05
O00242,U0544,P023,2026-02-23,offline_store,1,175.33,0.0,0,175.33
O00243,U0355,P030,2026-05-23,offline_store,5,163.0,0.0,0,815.0
O00244,U0041,P003,2026-03-02,taobao,2,133.65,0.1,0,267.3
O00245,U0026,P026,2026-04-07,taobao,1,34.89,0.1,0,34.89
O00246,U0198,P023,2026-05-11,taobao,1,175.33,0.0,0,175.33
O00247,U0551,P002,2026-05-11,wechat_shop,4,83.83,0.0,0,335.32
O00248,U0435,P022,2026-06-09,wechat_shop,1,226.16,0.15,0,226.16
O00249,U0074,P005,2026-02-21,douyin,3,95.16,0.15,0,285.48
O00250,U0056,P031,2026-01-06,douyin,2,72.69,0.0,0,145.38
O00251,U0418,P008,2026-03-05,offline_store,1,126.63,0.0,0,126.63
O00252,U0122,P028,2026-04-25,wechat_shop,1,284.68,0.0,1,284.68
O00253,U0075,P008,2026-06-13,taobao,2,107.64,0.15,0,215.28
O00254,U0089,P036,2026-05-08,taobao,1,227.23,0.15,0,227.23
O00255,U0161,P022,2026-04-22,douyin,1,226.16,0.15,1,226.16
O00256,U0148,P008,2026-02-03,taobao,1,113.97,0.1,0,113.97
O00257,U0569,P036,2026-06-22,douyin,2,267.33,0.0,0,534.66
O00258,U0561,P033,2026-01-31,wechat_shop,1,273.18,0.1,0,273.18
O00259,U0423,P024,2026-03-19,douyin,2,152.21,0.15,0,304.42
O00260,U0186,P001,2026-02-10,wechat_shop,1,27.36,0.0,0,27.36
O00261,U0069,P008,2026-05-20,taobao,2,126.63,0.0,0,253.26
O00262,U0366,P026,2026-01-25,douyin,2,36.83,0.05,0,73.66
O00263,U0199,P022,2026-06-20,taobao,1,266.07,0.0,0,266.07
O00264,U0599,P037,2026-05-04,douyin,1,235.7,0.15,0,235.7
O00265,U0173,P030,2026-05-24,wechat_shop,1,163.0,0.0,0,163.0
O00266,U0447,P036,2026-03-21,taobao,2,227.23,0.15,0,454.46
O00267,U0474,P005,2026-04-02,offline_store,2,111.95,0.0,0,223.9
O00268,U0084,P007,2026-04-01,taobao,1,182.5,0.0,0,182.5
O00269,U0079,P006,2026-02-04,wechat_shop,1,187.68,0.15,0,187.68
O00270,U0218,P010,2026-01-04,wechat_shop,2,197.94,0.1,0,395.88
O00271,U0153,P013,2026-05-21,taobao,1,161.33,0.1,0,161.33
O00272,U0298,P038,2026-04-10,douyin,3,267.54,0.1,0,802.62
O00273,U0011,P006,2026-04-28,douyin,1,209.76,0.05,0,209.76
O00274,U0164,P033,2026-06-06,douyin,1,273.18,0.1,0,273.18
O00275,U0496,P036,2026-05-24,taobao,2,267.33,0.0,0,534.66
O00276,U0379,P018,2026-01-10,douyin,2,32.29,0.0,0,64.58
O00277,U0466,P007,2026-01-10,wechat_shop,1,182.5,0.0,0,182.5
O00278,U0281,P017,2026-01-10,taobao,1,172.48,0.15,0,172.48
O00279,U0375,P029,2026-05-28,wechat_shop,2,131.13,0.05,0,262.26
O00280,U0362,P016,2026-05-12,taobao,1,89.63,0.0,0,89.63
O00281,U0143,P003,2026-05-04,offline_store,3,148.5,0.0,0,445.5
O00282,U0154,P014,2026-02-11,douyin,1,135.13,0.15,0,135.13
O00283,U0425,P013,2026-02-09,taobao,2,179.25,0.0,0,358.5
O00284,U0166,P017,2026-01-29,offline_store,2,192.77,0.05,0,385.54
O00285,U0138,P005,2026-01-05,wechat_shop,1,100.76,0.1,0,100.76
O00286,U0530,P031,2026-05-26,offline_store,1,72.69,0.0,0,72.69
O00287,U0291,P016,2026-06-02,wechat_shop,2,76.19,0.15,0,152.38
O00288,U0175,P012,2026-02-24,douyin,2,103.93,0.05,0,207.86
O00289,U0187,P009,2026-04-15,taobao,1,183.11,0.1,0,183.11
O00290,U0071,P010,2026-02-11,douyin,2,208.93,0.05,0,417.86
O00291,U0517,P012,2026-04-06,offline_store,1,109.4,0.0,0,109.4
O00292,U0040,P034,2026-02-07,wechat_shop,1,15.47,0.05,0,15.47
O00293,U0002,P036,2026-01-23,offline_store,2,240.6,0.1,0,481.2
O00294,U0440,P003,2026-05-13,douyin,1,148.5,0.0,0,148.5
O00295,U0590,P006,2026-05-03,wechat_shop,1,187.68,0.15,0,187.68
O00296,U0086,P017,2026-04-18,taobao,1,202.92,0.0,0,202.92
O00297,U0008,P006,2026-06-02,wechat_shop,1,220.8,0.0,1,220.8
O00298,U0324,P024,2026-05-13,offline_store,1,179.07,0.0,0,179.07
O00299,U0268,P033,2026-04-02,offline_store,1,258.0,0.15,0,258.0
O00300,U0209,P019,2026-05-24,offline_store,2,140.66,0.15,0,281.32
O00301,U0496,P022,2026-05-21,taobao,1,266.07,0.0,0,266.07
O00302,U0142,P020,2026-03-19,wechat_shop,1,108.61,0.15,0,108.61
O00303,U0521,P017,2026-02-27,offline_store,2,202.92,0.0,0,405.84
O00304,U0165,P017,2026-03-27,offline_store,2,172.48,0.15,0,344.96
O00305,U0446,P022,2026-06-11,wechat_shop,3,266.07,0.0,0,798.21
O00306,U0394,P040,2026-01-16,offline_store,1,241.49,0.0,0,241.49
O00307,U0059,P028,2026-06-06,douyin,1,241.98,0.15,0,241.98
O00308,U0531,P028,2026-06-12,taobao,1,284.68,0.0,0,284.68
O00309,U0238,P013,2026-02-18,douyin,2,161.33,0.1,0,322.66
O00310,U0162,P025,2026-06-21,wechat_shop,1,73.75,0.15,1,73.75
O00311,U0206,P001,2026-03-11,wechat_shop,1,25.99,0.05,0,25.99
O00312,U0597,P016,2026-01-17,taobao,1,76.19,0.15,0,76.19
O00313,U0414,P034,2026-03-29,wechat_shop,1,16.28,0.0,0,16.28
O00314,U0516,P022,2026-03-07,taobao,1,266.07,0.0,0,266.07
O00315,U0589,P039,2026-03-28,taobao,3,287.26,0.0,0,861.78
O00316,U0250,P012,2026-06-26,taobao,5,98.46,0.1,0,492.3
O00317,U0494,P004,2026-04-27,wechat_shop,1,104.33,0.1,0,104.33
O00318,U0236,P025,2026-03-07,taobao,1,86.77,0.0,0,86.77
O00319,U0270,P023,2026-04-15,douyin,1,175.33,0.0,0,175.33
O00320,U0078,P001,2026-03-14,douyin,1,23.26,0.15,0,23.26
O00321,U0195,P004,2026-05-01,offline_store,1,104.33,0.1,0,104.33
O00322,U0208,P026,2026-02-20,douyin,2,38.77,0.0,0,77.54
O00323,U0081,P025,2026-06-07,offline_store,1,86.77,0.0,0,86.77
O00324,U0494,P025,2026-06-06,taobao,2,78.09,0.1,0,156.18
O00325,U0503,P018,2026-06-07,douyin,1,29.06,0.1,0,29.06
O00326,U0539,P027,2026-05-10,offline_store,1,140.78,0.1,0,140.78
O00327,U0179,P032,2026-05-02,offline_store,1,80.92,0.0,0,80.92
O00328,U0013,P014,2026-01-30,douyin,1,158.98,0.0,0,158.98
O00329,U0266,P025,2026-04-07,douyin,1,86.77,0.0,0,86.77
O00330,U0352,P030,2026-05-20,taobao,1,154.85,0.05,0,154.85
O00331,U0382,P007,2026-02-16,taobao,1,173.38,0.05,0,173.38
O00332,U0590,P001,2026-04-12,douyin,1,24.62,0.1,0,24.62
O00333,U0391,P019,2026-01-25,douyin,1,165.48,0.0,0,165.48
O00334,U0512,P003,2026-02-06,douyin,1,148.5,0.0,0,148.5
O00335,U0308,P023,2026-06-10,taobao,1,175.33,0.0,0,175.33
O00336,U0062,P007,2026-05-23,douyin,1,182.5,0.0,0,182.5
O00337,U0343,P017,2026-03-06,taobao,3,202.92,0.0,0,608.76
O00338,U0422,P008,2026-04-02,wechat_shop,2,126.63,0.0,0,253.26
O00339,U0552,P017,2026-03-30,douyin,5,202.92,0.0,0,1014.6
O00340,U0458,P024,2026-03-13,wechat_shop,1,161.16,0.1,0,161.16
O00341,U0172,P002,2026-04-07,taobao,1,71.26,0.15,0,71.26
O00342,U0074,P011,2026-04-17,wechat_shop,2,216.36,0.05,0,432.72
O00343,U0274,P006,2026-02-10,offline_store,1,220.8,0.0,0,220.8
O00344,U0534,P022,2026-03-10,offline_store,2,266.07,0.0,0,532.14
O00345,U0241,P028,2026-04-15,taobao,1,284.68,0.0,0,284.68
O00346,U0098,P007,2026-06-28,wechat_shop,1,182.5,0.0,0,182.5
O00347,U0086,P032,2026-05-01,wechat_shop,1,76.87,0.05,0,76.87
O00348,U0400,P007,2026-03-08,taobao,1,155.12,0.15,0,155.12
O00349,U0135,P037,2026-02-27,douyin,2,263.43,0.05,0,526.86
O00350,U0479,P012,2026-01-07,taobao,2,109.4,0.0,0,218.8
O00351,U0468,P005,2026-05-20,offline_store,1,95.16,0.15,0,95.16
O00352,U0494,P027,2026-05-14,douyin,2,156.42,0.0,0,312.84
O00353,U0311,P035,2026-01-22,wechat_shop,1,85.55,0.05,0,85.55
O00354,U0481,P020,2025-12-31,wechat_shop,3,127.78,0.0,0,383.34
O00355,U0441,P015,2026-06-25,taobao,4,153.83,0.05,0,615.32
O00356,U0422,P010,2026-06-01,offline_store,3,197.94,0.1,0,593.82
O00357,U0388,P001,2026-04-11,douyin,1,23.26,0.15,0,23.26
